,open,high,low,close,volume,value
2022-03-11 04:45:00,48791000.0,49150000.0,48753000.0,48998000.0,36.94139988,1808888047.55348
2022-03-11 05:00:00,49020000.0,49021000.0,48875000.0,48980000.0,23.32179921,1141052214.31498
2022-03-11 05:15:00,48980000.0,48993000.0,48854000.0,48940000.0,23.66009532,1157561303.77916
2022-03-11 05:30:00,48938000.0,49094000.0,48904000.0,49088000.0,22.28600558,1091493276.93085
2022-03-11 05:45:00,49086000.0,49260000.0,49002000.0,49233000.0,47.66262322,2343790753.43688
2022-03-11 06:00:00,49217000.0,49233000.0,49001000.0,49166000.0,36.04075404,1771071357.55533
2022-03-11 06:15:00,49166000.0,49167000.0,48996000.0,49000000.0,23.70870504,1163389141.31193
2022-03-11 06:30:00,49000000.0,49094000.0,48874000.0,48912000.0,26.47499142,1296728472.80561
2022-03-11 06:45:00,48914000.0,49011000.0,48800000.0,48813000.0,28.92198522,1414925305.42067
2022-03-11 07:00:00,48820000.0,48885000.0,48649000.0,48763000.0,46.66377708,2274431809.83208
2022-03-11 07:15:00,48768000.0,48878000.0,48746000.0,48833000.0,26.05689452,1271719947.43026
2022-03-11 07:30:00,48833000.0,49000000.0,48829000.0,48924000.0,27.24314928,1332479891.17513
2022-03-11 07:45:00,48921000.0,49036000.0,48906000.0,49017000.0,46.26583622,2265683681.06027
2022-03-11 08:00:00,49018000.0,49112000.0,49000000.0,49005000.0,42.62411353,2090570422.08305
2022-03-11 08:15:00,49010000.0,49122000.0,48940000.0,49088000.0,40.2414103,1973326912.40351
2022-03-11 08:30:00,49085000.0,49132000.0,48959000.0,48968000.0,39.4710981,1935413120.28826
2022-03-11 08:45:00,48968000.0,49013000.0,48912000.0,48917000.0,44.22418455,2165594116.05037
2022-03-11 09:00:00,48931000.0,48983000.0,48790000.0,48946000.0,75.30919396,3681179783.58729
2022-03-11 09:15:00,48945000.0,48946000.0,48785000.0,48787000.0,51.37066207,2510769173.05737
2022-03-11 09:30:00,48787000.0,49000000.0,48693000.0,48819000.0,82.35678386,4021934631.14463
2022-03-11 09:45:00,48819000.0,48948000.0,48785000.0,48786000.0,54.16237992,2645593150.92702
2022-03-11 10:00:00,48785000.0,48845000.0,48500000.0,48549000.0,108.38871178,5269471437.26404
2022-03-11 10:15:00,48529000.0,48670000.0,48200000.0,48221000.0,140.49064675,6796482438.13675
2022-03-11 10:30:00,48206000.0,48500000.0,48201000.0,48472000.0,83.54464668,4039514114.04631
2022-03-11 10:45:00,48487000.0,48492000.0,48111000.0,48154000.0,114.65454515,5532912950.11378
2022-03-11 11:00:00,48172000.0,48299000.0,47911000.0,47911000.0,183.40688522,8812188844.48301
2022-03-11 11:15:00,47912000.0,48046000.0,47888000.0,47965000.0,164.164233,7870172344.82243
